dt_dia;tx_compra;tx_venda;pu_compra;pu_venda;pu_base;nome_titulo;id_data
04/01/2016;0,0;0,0002;7411,83;7410,09;7406,17;LFT 070317;9500
05/01/2016;0,0;0,0002;7415,72;7413,99;7410,07;LFT 070317;9501
06/01/2016;0,0;0,0002;7419,62;7417,9;7413,97;LFT 070317;9502
07/01/2016;0,0;0,0002;7423,51;7421,8;7417,87;LFT 070317;9503
08/01/2016;0,0;0,0002;7427,41;7425,7;7421,77;LFT 070317;9504
11/01/2016;0,0;0,0002;7431,32;7429,61;7425,67;LFT 070317;9507
12/01/2016;0,0;0,0002;7435,22;7433,52;7429,58;LFT 070317;9508
13/01/2016;0,0;0,0002;7439,13;7437,43;7433,49;LFT 070317;9509
14/01/2016;0,0;0,0002;7443,03;7441,34;7437,4;LFT 070317;9510
15/01/2016;0,0;0,0002;7446,94;7445,25;7441,32;LFT 070317;9511
18/01/2016;0,0;0,0002;7450,86;7449,17;7445,23;LFT 070317;9514
19/01/2016;0,0;0,0002;7454,77;7453,09;7449,15;LFT 070317;9515
20/01/2016;0,0;0,0002;7458,69;7457,01;7453,07;LFT 070317;9516
21/01/2016;0,0;0,0002;7462,6;7460,94;7456,99;LFT 070317;9517
22/01/2016;0,0;0,0002;7470,47;7468,81;7460,91;LFT 070317;9518
25/01/2016;0,0;0,0002;7470,45;7468,79;7464,83;LFT 070317;9521
26/01/2016;0,0;0,0002;7474,37;7472,72;7468,76;LFT 070317;9522
27/01/2016;0,0;0,0002;7478,3;7476,65;7472,69;LFT 070317;9523
28/01/2016;0,0;0,0002;7482,23;7480,58;7476,63;LFT 070317;9524
29/01/2016;0,0;0,0002;7486,16;7484,52;7480,55;LFT 070317;9525
01/02/2016;0,0;0,0002;7490,09;7488,46;7484,49;LFT 070317;9528
02/02/2016;0,0;0,0002;7494,02;7492,4;7488,43;LFT 070317;9529
03/02/2016;0,0;0,0002;7497,96;7496,34;7492,37;LFT 070317;9530
04/02/2016;0,0;0,0002;7501,9;7500,28;7496,31;LFT 070317;9531
05/02/2016;0,0;0,0002;7505,84;7504,23;7500,25;LFT 070317;9532
10/02/2016;0,0;0,0002;7509,78;7508,17;7504,2;LFT 070317;9537
11/02/2016;0,0;0,0002;7513,73;7512,13;7508,15;LFT 070317;9538
12/02/2016;0,0;0,0002;7517,67;7516,08;7512,1;LFT 070317;9539
15/02/2016;0,0;0,0002;7521,62;7520,03;7516,05;LFT 070317;9542
16/02/2016;0,0;0,0002;7525,57;7523,99;7520,0;LFT 070317;9543
17/02/2016;0,0;0,0002;7529,53;7527,95;7523,96;LFT 070317;9544
18/02/2016;0,0;0,0002;7533,48;7531,91;7527,92;LFT 070317;9545
19/02/2016;0,0;0,0002;7537,44;7535,87;7531,88;LFT 070317;9546
22/02/2016;0,0;0,0002;7541,4;7539,83;7535,85;LFT 070317;9549
23/02/2016;0,0;0,0002;7545,36;7543,8;7539,8;LFT 070317;9550
24/02/2016;0,0;0,0002;7549,33;7547,77;7543,77;LFT 070317;9551
25/02/2016;0,0;0,0002;7553,29;7551,74;7547,74;LFT 070317;9552
26/02/2016;0,0;0,0002;7557,26;7555,72;7551,72;LFT 070317;9553
29/02/2016;0,0;0,0002;7561,23;7559,69;7555,69;LFT 070317;9556
01/03/2016;0,0;0,0002;7565,2;7563,66;7559,66;LFT 070317;9557
02/03/2016;0,0;0,0002;7569,17;7567,65;7563,64;LFT 070317;9558
03/03/2016;0,0;0,0002;7573,15;7571,63;7567,62;LFT 070317;9559
