codigo;nome_atualizado;ano;dt_vencimento
LFT 210104;Tesouro Selic 2004;2004;2004/01/21
LFT 160205;Tesouro Selic 2005;2005;2005/02/16
LFT 180106;Tesouro Selic 2006;2006;2006/01/18
LFT 170107;Tesouro Selic 2007;2007;2007/01/17
LTN 070104;Tesouro Prefixado 2004;2004;2004/01/07
NTN-C 010705;Tesouro IGPM+ com Juros Semestrais 2005;2005;2005/07/01
NTN-C 011205;Tesouro IGPM+ com Juros Semestrais 2005;2005;2005/12/01
NTN-C 011206;Tesouro IGPM+ com Juros Semestrais 2006;2006;2006/12/01
NTN-C 010408;Tesouro IGPM+ com Juros Semestrais 2008;2008;2008/04/01
NTN-C 010311;Tesouro IGPM+ com Juros Semestrais 2011;2011;2011/03/01
NTN-C 010717;Tesouro IGPM+ com Juros Semestrais 2017;2017;2017/07/01
NTN-C 010421;Tesouro IGPM+ com Juros Semestrais 2021;2021;2021/04/01
NTN-C 010131;Tesouro IGPM+ com Juros Semestrais 2031;2031;2031/01/01
