data,taxa compra,taxa venda,pu compra,pu venda,pu base,codigo
26/01/2016,"0,1628","0,1634","644,85","643,89","643,50",LTN010119
27/01/2016,"0,16","0,1606","649,77","648,80","648,41",LTN010119
28/01/2016,"0,1598","0,1604","650,48","649,51","649,12",LTN010119
29/01/2016,"0,1553","0,1559","658,23","657,25","656,87",LTN010119
01/02/2016,"0,1554","0,156","658,45","657,46","657,08",LTN010119
02/02/2016,"0,1523","0,1529","663,96","662,96","662,59",LTN010119
03/02/2016,"0,1547","0,1553","660,36","659,37","658,99",LTN010119
04/02/2016,"0,1544","0,155","661,23","660,24","659,86",LTN010119
05/02/2016,"0,1565","0,1571","658,15","657,17","656,79",LTN010119
10/02/2016,"0,1564","0,157","658,70","657,72","657,34",LTN010119
11/02/2016,"0,1555","0,1561","660,55","659,57","659,19",LTN010119
12/02/2016,"0,1573","0,1579","657,99","657,01","656,63",LTN010119
15/02/2016,"0,1565","0,1571","659,67","658,70","658,32",LTN010119
16/02/2016,"0,1558","0,1564","661,20","660,22","659,84",LTN010119
17/02/2016,"0,1549","0,1555","663,05","662,07","661,69",LTN010119
18/02/2016,"0,1528","0,1534","666,88","665,89","665,51",LTN010119
19/02/2016,"0,1538","0,1544","665,61","664,63","664,25",LTN010119
22/02/2016,"0,152","0,1526","668,95","667,96","667,58",LTN010119
23/02/2016,"0,151","0,1516","670,98","669,99","669,61",LTN010119
24/02/2016,"0,1524","0,153","669,04","668,06","667,68",LTN010119
25/02/2016,"0,1507","0,1513","672,22","671,23","670,86",LTN010119
26/02/2016,"0,1518","0,1524","670,78","669,80","669,42",LTN010119
29/02/2016,"0,1523","0,1529","670,34","669,35","668,98",LTN010119
01/03/2016,"0,1509","0,1515","673,02","672,03","671,65",LTN010119
02/03/2016,"0,1486","0,1492","677,19","676,20","675,83",LTN010119
03/03/2016,"0,1481","0,1487","678,39","677,40","677,03",LTN010119
04/03/2016,"0,1447","0,1453","684,44","683,43","683,06",LTN010119
07/03/2016,"0,1453","0,1459","683,80","682,80","682,43",LTN010119
08/03/2016,"0,147","0,1476","681,34","680,34","679,97",LTN010119
09/03/2016,"0,1412","0,1418","691,43","690,42","690,05",LTN010119
10/03/2016,"0,1406","0,1412","692,81","691,79","691,43",LTN010119
11/03/2016,"0,14","0,1406","694,19","693,17","692,81",LTN010119
14/03/2016,"0,1378","0,1384","698,29","697,27","696,91",LTN010119
15/03/2016,"0,1407","0,1413","693,72","692,71","692,35",LTN010119
16/03/2016,"0,1435","0,1441","689,38","688,38","688,01",LTN010119
17/03/2016,"0,1391","0,1397","697,16","696,14","695,78",LTN010119
18/03/2016,"0,1374","0,138","700,40","699,38","699,02",LTN010119
21/03/2016,"0,1368","0,1374","701,78","700,76","700,40",LTN010119
22/03/2016,"0,1363","0,1369","702,99","701,97","701,61",LTN010119
23/03/2016,"0,1337","0,1343","707,80","706,77","706,42",LTN010119
24/03/2016,"0,137","0,1376","702,52","701,50","701,14",LTN010119
28/03/2016,"0,1357","0,1363","705,08","704,06","703,71",LTN010119
29/03/2016,"0,1348","0,1354","706,98","705,95","705,60",LTN010119
30/03/2016,"0,1334","0,134","709,73","708,70","708,34",LTN010119
31/03/2016,"0,1361","0,1367","705,47","704,46","704,10",LTN010119
01/04/2016,"0,138","0,1386","702,62","701,61","701,25",LTN010119
04/04/2016,"0,136","0,1366","706,36","705,34","704,98",LTN010119
05/04/2016,"0,138","0,1386","703,34","702,33","701,97",LTN010119
06/04/2016,"0,1376","0,1382","704,37","703,36","703,00",LTN010119
07/04/2016,"0,1386","0,1392","703,06","702,05","701,69",LTN010119
08/04/2016,"0,1371","0,1377","705,94","704,93","704,57",LTN010119
11/04/2016,"0,1358","0,1364","708,49","707,47","707,11",LTN010119
12/04/2016,"0,1343","0,1349","711,38","710,36","710,01",LTN010119
13/04/2016,"0,134","0,1346","712,24","711,23","710,87",LTN010119
14/04/2016,"0,1311","0,1317","717,53","716,51","716,16",LTN010119
15/04/2016,"0,1305","0,1311","718,91","717,88","717,53",LTN010119
18/04/2016,"0,1286","0,1292","722,52","721,49","721,14",LTN010119
19/04/2016,"0,1275","0,1281","724,76","723,72","723,38",LTN010119
20/04/2016,"0,1279","0,1285","724,41","723,38","723,04",LTN010119
22/04/2016,"0,1276","0,1282","725,28","724,24","723,90",LTN010119
25/04/2016,"0,1277","0,1283","725,45","724,42","724,07",LTN010119
26/04/2016,"0,127","0,1276","727,00","725,97","725,62",LTN010119
27/04/2016,"0,1273","0,1279","726,83","725,80","725,45",LTN010119
28/04/2016,"0,1253","0,1259","730,61","729,58","729,24",LTN010119
29/04/2016,"0,1266","0,1272","728,72","727,69","727,34",LTN010119
02/05/2016,"0,125","0,1256","731,82","730,78","730,44",LTN010119
03/05/2016,"0,1256","0,1262","731,13","730,10","729,75",LTN010119
04/05/2016,"0,1257","0,1263","731,30","730,27","729,92",LTN010119
05/05/2016,"0,1267","0,1273","729,93","728,90","728,56",LTN010119
06/05/2016,"0,126","0,1266","731,47","730,45","730,10",LTN010119
09/05/2016,"0,1262","0,1268","731,47","730,45","730,10",LTN010119
