data,taxa compra,taxa venda,pu compra,pu venda,pu base,codigo
14/01/2013,"0,0288","0,0294","1.865,62","1.858,78","1.858,09",NTN-BPrincipal150519
15/01/2013,"0,0289","0,0295","1.865,16","1.858,33","1.857,64",NTN-BPrincipal150519
16/01/2013,"0,0291","0,0297","1.863,56","1.856,74","1.856,05",NTN-BPrincipal150519
17/01/2013,"0,0292","0,0298","1.863,11","1.856,29","1.855,61",NTN-BPrincipal150519
18/01/2013,"0,0297","0,0303","1.859,06","1.852,26","1.850,63",NTN-BPrincipal150519
21/01/2013,"0,0301","0,0307","1.855,21","1.848,44","1.847,75",NTN-BPrincipal150519
22/01/2013,"0,0295","0,0301","1.862,70","1.855,90","1.855,21",NTN-BPrincipal150519
23/01/2013,"0,0297","0,0303","1.861,12","1.854,33","1.853,64",NTN-BPrincipal150519
24/01/2013,"0,0295","0,0301","1.866,57","1.859,77","1.857,18",NTN-BPrincipal150519
28/01/2013,"0,0312","0,0318","1.848,13","1.841,41","1.840,65",NTN-BPrincipal150519
29/01/2013,"0,0315","0,0321","1.845,53","1.838,83","1.838,06",NTN-BPrincipal150519
30/01/2013,"0,0316","0,0322","1.845,17","1.838,47","1.837,71",NTN-BPrincipal150519
31/01/2013,"0,0321","0,0327","1.840,35","1.833,68","1.832,91",NTN-BPrincipal150519
01/02/2013,"0,0325","0,0331","1.837,72","1.831,07","1.829,24",NTN-BPrincipal150519
04/02/2013,"0,0327","0,0333","1.836,27","1.829,62","1.828,85",NTN-BPrincipal150519
05/02/2013,"0,0334","0,034","1.829,28","1.822,67","1.821,90",NTN-BPrincipal150519
06/02/2013,"0,0345","0,0351","1.817,95","1.811,39","1.810,62",NTN-BPrincipal150519
07/02/2013,"0,0352","0,0358","1.810,52","1.804,00","1.803,25",NTN-BPrincipal150519
08/02/2013,"0,0362","0,0368","1.802,40","1.795,92","1.793,18",NTN-BPrincipal150519
13/02/2013,"0,0366","0,0372","1.798,83","1.792,36","1.791,61",NTN-BPrincipal150519
14/02/2013,"0,0365","0,0371","1.800,66","1.794,19","1.793,44",NTN-BPrincipal150519
15/02/2013,"0,0364","0,037","1.802,77","1.796,30","1.795,27",NTN-BPrincipal150519
18/02/2013,"0,036","0,0366","1.807,61","1.801,12","1.800,61",NTN-BPrincipal150519
19/02/2013,"0,0363","0,0369","1.804,87","1.798,40","1.797,89",NTN-BPrincipal150519
20/02/2013,"0,0362","0,0368","1.806,47","1.799,99","1.799,48",NTN-BPrincipal150519
21/02/2013,"0,0364","0,037","1.804,82","1.798,36","1.797,84",NTN-BPrincipal150519
