data,indice,taxa percent
01/01/1994,IPCA,"26,9384"
01/02/1994,IPCA,"30,3571"
01/03/1994,IPCA,"34,1739"
01/04/1994,IPCA,"38,2849"
01/05/1994,IPCA,"43,3119"
01/06/1994,IPCA,"49,226"
01/07/1994,IPCA,"40,0508"
01/08/1994,IPCA,"30,4489"
01/09/1994,IPCA,"22,5315"
01/10/1994,IPCA,"17,0317"
01/11/1994,IPCA,"12,6754"
01/12/1994,IPCA,"9,1646"
01/01/1995,IPCA,"6,3154"
01/02/1995,IPCA,"4,2683"
01/03/1995,IPCA,"2,7478"
01/04/1995,IPCA,"1,6905"
01/05/1995,IPCA,"0,9179"
01/06/1995,IPCA,"0,3303"
01/07/1995,IPCA,"0,2745"
01/08/1995,IPCA,"0,2636"
01/09/1995,IPCA,"0,2569"
01/10/1995,IPCA,"0,2421"
01/11/1995,IPCA,"0,2259"
01/12/1995,IPCA,"0,2241"
01/01/1996,IPCA,"0,2197"
01/02/1996,IPCA,"0,2199"
01/03/1996,IPCA,"0,2055"
01/04/1996,IPCA,"0,1917"
01/05/1996,IPCA,"0,1749"
01/06/1996,IPCA,"0,1626"
01/07/1996,IPCA,"0,1484"
01/08/1996,IPCA,"0,1421"
01/09/1996,IPCA,"0,1326"
01/10/1996,IPCA,"0,1202"
01/11/1996,IPCA,"0,1075"
01/12/1996,IPCA,"0,0956"
01/01/1997,IPCA,"0,0939"
01/02/1997,IPCA,"0,0882"
01/03/1997,IPCA,"0,0899"
01/04/1997,IPCA,"0,0858"
01/05/1997,IPCA,"0,0771"
01/06/1997,IPCA,"0,0702"
01/07/1997,IPCA,"0,0608"
01/08/1997,IPCA,"0,0559"
01/09/1997,IPCA,"0,055"
01/10/1997,IPCA,"0,0542"
01/11/1997,IPCA,"0,0527"
01/12/1997,IPCA,"0,0522"
01/01/1998,IPCA,"0,0473"
01/02/1998,IPCA,"0,0469"
01/03/1998,IPCA,"0,0452"
01/04/1998,IPCA,"0,0385"
01/05/1998,IPCA,"0,0395"
01/06/1998,IPCA,"0,0341"
01/07/1998,IPCA,"0,0306"
01/08/1998,IPCA,"0,0255"
01/09/1998,IPCA,"0,0227"
01/10/1998,IPCA,"0,0205"
01/11/1998,IPCA,"0,0176"
01/12/1998,IPCA,"0,0165"
01/01/1999,IPCA,"0,0165"
01/02/1999,IPCA,"0,0224"
01/03/1999,IPCA,"0,0302"
01/04/1999,IPCA,"0,0335"
01/05/1999,IPCA,"0,0314"
01/06/1999,IPCA,"0,0332"
01/07/1999,IPCA,"0,0457"
01/08/1999,IPCA,"0,0569"
01/09/1999,IPCA,"0,0625"
01/10/1999,IPCA,"0,075"
01/11/1999,IPCA,"0,0865"
01/12/1999,IPCA,"0,0894"
01/01/2000,IPCA,"0,0885"
01/02/2000,IPCA,"0,0786"
01/03/2000,IPCA,"0,0692"
01/04/2000,IPCA,"0,0677"
01/05/2000,IPCA,"0,0647"
01/06/2000,IPCA,"0,0651"
01/07/2000,IPCA,"0,0706"
01/08/2000,IPCA,"0,0786"
01/09/2000,IPCA,"0,0777"
01/10/2000,IPCA,"0,0665"
01/11/2000,IPCA,"0,0599"
01/12/2000,IPCA,"0,0597"
01/01/2001,IPCA,"0,0592"
01/02/2001,IPCA,"0,0627"
01/03/2001,IPCA,"0,0644"
01/04/2001,IPCA,"0,0661"
01/05/2001,IPCA,"0,0704"
01/06/2001,IPCA,"0,0735"
01/07/2001,IPCA,"0,0705"
01/08/2001,IPCA,"0,0641"
01/09/2001,IPCA,"0,0646"
01/10/2001,IPCA,"0,0719"
01/11/2001,IPCA,"0,0761"
01/12/2001,IPCA,"0,0767"
01/01/2002,IPCA,"0,0762"
01/02/2002,IPCA,"0,0751"
01/03/2002,IPCA,"0,0775"
01/04/2002,IPCA,"0,0798"
