Data,Data,,Inflação - IPCA - (% a.m.) - Instituto Brasileiro de Geografia e Estatística, Sistema Nacional de Índices de Preços ao Consumidor (IBGE/SNIPC) - PRECOS12_IPCAG12
1980/01/01,1980/01,1980/01/01,6,61564916057387
1980/02/01,1980/02,1980/02/01,4,61691885303424
1980/03/01,1980/03,1980/03/01,6,3838866463464
1980/04/01,1980/04,1980/04/01,5,28611382402557
1980/05/01,1980/05,1980/05/01,5,70272065101669
1980/06/01,1980/06,1980/06/01,5,30530430706944
1980/07/01,1980/07,1980/07/01,5,54561209125259
1980/08/01,1980/08,1980/08/01,4,94558244282344
1980/09/01,1980/09,1980/09/01,4,23032531099046
1980/1/01,1980/1,1980/1/01,9,4805311984776
1980/11/01,1980/11,1980/11/01,6,67335975605188
1980/12/01,1980/12,1980/12/01,6,61408363651688
1981/01/01,1981/01,1981/01/01,6,83751111696695
1981/02/01,1981/02,1981/02/01,6,40114938276171
1981/03/01,1981/03,1981/03/01,4,97174813827477
1981/04/01,1981/04,1981/04/01,6,46206675720737
1981/05/01,1981/05,1981/05/01,5,55956004750076
1981/06/01,1981/06,1981/06/01,5,51778345450973
1981/07/01,1981/07,1981/07/01,6,25581958359716
1981/08/01,1981/08,1981/08/01,5,49579588921654
1981/09/01,1981/09,1981/09/01,5,25684049640323
1981/1/01,1981/1,1981/1/01,5,7755623863095
1981/11/01,1981/11,1981/11/01,5,27155769685728
1981/12/01,1981/12,1981/12/01,5,92541066937771
1982/01/01,1982/01,1982/01/01,6,97
1982/02/01,1982/02,1982/02/01,6,63669449796618
1982/03/01,1982/03,1982/03/01,5,71259019568477
1982/04/01,1982/04,1982/04/01,5,88733078811474
1982/05/01,1982/05,1982/05/01,6,65854295413002
1982/06/01,1982/06,1982/06/01,7,1049156490645
1982/07/01,1982/07,1982/07/01,6,35792506805384
1982/08/01,1982/08,1982/08/01,5,97286443069576
1982/09/01,1982/09,1982/09/01,5,8025991265231
1982/1/01,1982/1,1982/1/01,4,44241701172012
1982/11/01,1982/11,1982/11/01,5,28845435947976
1982/12/01,1982/12,1982/12/01,7,80591577510481
1983/01/01,1983/01,1983/01/01,8,64110031457763
1983/02/01,1983/02,1983/02/01,7,85814293174301
1983/03/01,1983/03,1983/03/01,7,34484921714165
1983/04/01,1983/04,1983/04/01,6,57925871889702
1983/05/01,1983/05,1983/05/01,6,48295911045147
1983/06/01,1983/06,1983/06/01,9,88034747269024
1983/07/01,1983/07,1983/07/01,10,784385260854
1983/08/01,1983/08,1983/08/01,9,11121206320362
1983/09/01,1983/09,1983/09/01,10,3006011324368
1983/1/01,1983/1,1983/1/01,8,86655028717669
1983/11/01,1983/11,1983/11/01,7,38424120483205
1983/12/01,1983/12,1983/12/01,8,67709911366168
1984/01/01,1984/01,1984/01/01,9,66893843794649
1984/02/01,1984/02,1984/02/01,9,50073747527316
1984/03/01,1984/03,1984/03/01,8,93854835530752
1984/04/01,1984/04,1984/04/01,9,54299673817356
1984/05/01,1984/05,1984/05/01,9,5022353152869
1984/06/01,1984/06,1984/06/01,10,80186654476
1984/07/01,1984/07,1984/07/01,9,72466766958673
1984/08/01,1984/08,1984/08/01,9,349208255734
1984/09/01,1984/09,1984/09/01,11,748073391284
1984/1/01,1984/1,1984/1/01,10,4371986364108
1984/11/01,1984/11,1984/11/01,10,5263376674186
1984/12/01,1984/12,1984/12/01,11,9772318197023
1985/01/01,1985/01,1985/01/01,11,7592623142395
1985/02/01,1985/02,1985/02/01,10,8652460303697
1985/03/01,1985/03,1985/03/01,10,1622895878452
1985/04/01,1985/04,1985/04/01,8,19533579264864
1985/05/01,1985/05,1985/05/01,7,19583929607517
1985/06/01,1985/06,1985/06/01,8,49392906572883
1985/07/01,1985/07,1985/07/01,10,3129983324072
1985/08/01,1985/08,1985/08/01,12,495633121291
1985/09/01,1985/09,1985/09/01,11,1174031746806
1985/1/01,1985/1,1985/1/01,10,616449226659
1985/11/01,1985/11,1985/11/01,13,9729386379311
1985/12/01,1985/12,1985/12/01,15,730453195001
1986/01/01,1986/01,1986/01/01,14,372350612334
1986/02/01,1986/02,1986/02/01,12,7162572340223
1986/03/01,1986/03,1986/03/01,4,77018576799688
1986/04/01,1986/04,1986/04/01,0,780003209052493
1986/05/01,1986/05,1986/05/01,1,39908695970441
1986/06/01,1986/06,1986/06/01,1,27213974966598
1986/07/01,1986/07,1986/07/01,1,71030699984629
1986/08/01,1986/08,1986/08/01,3,55311008748136
1986/09/01,1986/09,1986/09/01,1,71559599894644
1986/1/01,1986/1,1986/1/01,1,90312887367812
1986/11/01,1986/11,1986/11/01,5,45229256771305
1986/12/01,1986/12,1986/12/01,11,6501578923634
1987/01/01,1987/01,1987/01/01,13,2085420443698
1987/02/01,1987/02,1987/02/01,12,6369622828461
1987/03/01,1987/03,1987/03/01,16,3718886126484
1987/04/01,1987/04,1987/04/01,19,992440017466
1987/05/01,1987/05,1987/05/01,21,4513604362137
1987/06/01,1987/06,1987/06/01,19,7114041003811
1987/07/01,1987/07,1987/07/01,9,21006335448926
1987/08/01,1987/08,1987/08/01,4,87033868986431
1987/09/01,1987/09,1987/09/01,7,78112778452082
1987/1/01,1987/1,1987/1/01,11,2201362464978
