data,indice,taxa,taxa percent
01/07/1996,SELIC,"25,34","0,253401"
02/07/1996,SELIC,"25,34","0,253401"
03/07/1996,SELIC,"25,34","0,253401"
04/07/1996,SELIC,"25,34","0,253401"
05/07/1996,SELIC,"25,34","0,253401"
06/07/1996,SELIC,"25,34","0,253401"
07/07/1996,SELIC,"25,34","0,253401"
08/07/1996,SELIC,"25,34","0,253401"
09/07/1996,SELIC,"25,34","0,253401"
10/07/1996,SELIC,"25,34","0,253401"
11/07/1996,SELIC,"25,34","0,253401"
12/07/1996,SELIC,"25,34","0,253401"
13/07/1996,SELIC,"25,34","0,253401"
14/07/1996,SELIC,"25,34","0,253401"
15/07/1996,SELIC,"25,34","0,253401"
16/07/1996,SELIC,"25,34","0,253401"
17/07/1996,SELIC,"25,34","0,253401"
18/07/1996,SELIC,"25,34","0,253401"
19/07/1996,SELIC,"25,34","0,253401"
20/07/1996,SELIC,"25,34","0,253401"
21/07/1996,SELIC,"25,34","0,253401"
22/07/1996,SELIC,"25,34","0,253401"
23/07/1996,SELIC,"25,34","0,253401"
24/07/1996,SELIC,"25,34","0,253401"
25/07/1996,SELIC,"25,34","0,253401"
26/07/1996,SELIC,"25,34","0,253401"
27/07/1996,SELIC,"25,34","0,253401"
28/07/1996,SELIC,"25,34","0,253401"
29/07/1996,SELIC,"25,34","0,253401"
30/07/1996,SELIC,"25,34","0,253401"
31/07/1996,SELIC,"25,34","0,253401"
01/08/1996,SELIC,"25,34","0,253401"
02/08/1996,SELIC,"25,34","0,253401"
03/08/1996,SELIC,"25,34","0,253401"
04/08/1996,SELIC,"25,34","0,253401"
05/08/1996,SELIC,"25,34","0,253401"
06/08/1996,SELIC,"25,34","0,253401"
07/08/1996,SELIC,"25,34","0,253401"
08/08/1996,SELIC,"25,34","0,253401"
09/08/1996,SELIC,"25,34","0,253401"
10/08/1996,SELIC,"25,34","0,253401"
11/08/1996,SELIC,"25,34","0,253401"
12/08/1996,SELIC,"25,34","0,253401"
13/08/1996,SELIC,"25,34","0,253401"
14/08/1996,SELIC,"25,34","0,253401"
15/08/1996,SELIC,"25,34","0,253401"
16/08/1996,SELIC,"25,34","0,253401"
17/08/1996,SELIC,"25,34","0,253401"
18/08/1996,SELIC,"25,34","0,253401"
19/08/1996,SELIC,"25,34","0,253401"
20/08/1996,SELIC,"25,34","0,253401"
